Hidden Layers,Learning Rate,Optimizer,Activation,Val Accuracy (%)
"(512, 256)",0.001,adam,relu,92.61
"(512, 256)",0.001,adam,leaky_relu,92.4
"(512, 256)",0.01,sgd,relu,92.25
"(256, 128)",0.001,adam,tanh,92.02
"(256, 128)",0.01,sgd,leaky_relu,91.93
"(512, 256)",0.01,sgd,leaky_relu,91.92
"(256, 128)",0.01,sgd,tanh,91.83
"(512, 256)",0.01,sgd,tanh,91.59
"(256, 128)",0.001,adam,leaky_relu,91.53
"(256, 128)",0.001,adam,relu,91.5
"(256, 128)",0.01,sgd,relu,91.43
"(512, 256)",0.001,adam,tanh,90.93
"(512, 256)",0.001,rmsprop,leaky_relu,90.74
"(256, 128)",0.001,rmsprop,leaky_relu,89.13
"(256, 128)",0.001,rmsprop,relu,88.39
"(512, 256)",0.001,rmsprop,relu,85.35
"(512, 256)",0.01,adam,leaky_relu,84.28
"(512, 256)",0.001,rmsprop,tanh,83.11
"(256, 128)",0.01,adam,leaky_relu,82.99
"(256, 128)",0.01,adam,relu,81.76
"(256, 128)",0.001,rmsprop,tanh,80.58
"(256, 128)",0.01,rmsprop,relu,72.27
"(512, 256)",0.001,sgd,leaky_relu,70.7
"(512, 256)",0.001,sgd,relu,70.45
"(256, 128)",0.001,sgd,relu,69.84
"(256, 128)",0.001,sgd,leaky_relu,68.57
"(512, 256)",0.01,adam,relu,68.38
"(512, 256)",0.01,rmsprop,leaky_relu,68.36
"(256, 128)",0.001,sgd,tanh,66.93
"(512, 256)",0.001,sgd,tanh,66.69
"(512, 256)",0.01,rmsprop,relu,60.6
"(256, 128)",0.01,rmsprop,leaky_relu,56.48
"(512, 256)",0.01,rmsprop,tanh,11.58
"(256, 128)",0.01,rmsprop,tanh,10.49
"(256, 128)",0.01,adam,tanh,9.74
"(512, 256)",0.01,adam,tanh,9.05
